supplierSource,externalId,canonicalName,sourceUrl,productVariantId,cardStatus
"amdgroup","lm_aktivatorp_2_vysokiy_korotkiy_40_","LM-Активаторп 2 высокий короткий 40","https://amdgroup.kz/catalog/nabory2/lm_aktivatorp_2_vysokiy_korotkiy_40_/","80833847-9a57-42c8-b66e-623a2a22ffe5","DRAFT_REVIEW"
"amdgroup","lumex_ac_corrective_neutral_12_g_massa_d_bezmetal_keramiki","LUMEX AC Corrective neutral 12 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_corrective_neutral_12_g_massa_d_bezmetal_keramiki/","24b9d278-5788-4cad-bd76-12b523846831","DRAFT_REVIEW"
"amdgroup","lumex_ac_corrective_neutral_12_g_massa_d_bezmetal_keramiki","LUMEX AC Corrective neutral 12 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_corrective_neutral_12_g_massa_d_bezmetal_keramiki/","6f820850-cd06-47a6-ae97-6d0dc70944f9","DRAFT_REVIEW"
"amdgroup","lumex_ac_dentine_0m1_12_g_massa_d_bezmetal_keramiki","LUMEX AC Dentine 0M1,12 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_dentine_0m1_12_g_massa_d_bezmetal_keramiki/","9dd2bd66-c7a8-40bb-aa18-1c06c0e38c1c","DRAFT_REVIEW"
"amdgroup","lumex_ac_dentine_2m2_12_g_massa_d_bezmetal_keramiki","LUMEX AC Dentine 2M2,12 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_dentine_2m2_12_g_massa_d_bezmetal_keramiki/","503dda77-2756-44ef-92a2-c3fb28d457e2","DRAFT_REVIEW"
"amdgroup","lumex_ac_dentine_2m2_50_g_massa_d_bezmetal_keramiki","LUMEX AC Dentine 2M2,50 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_dentine_2m2_50_g_massa_d_bezmetal_keramiki/","045c0f1b-b040-464a-ab96-8b8a1875173f","DRAFT_REVIEW"
"amdgroup","lumex_ac_dentine_2m2_50_g_massa_d_bezmetal_keramiki","LUMEX AC Dentine 2M2,50 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_dentine_2m2_50_g_massa_d_bezmetal_keramiki/","d22f4da0-c104-4540-bde6-d4ddc1a2367b","DRAFT_REVIEW"
"amdgroup","lumex_ac_dentine_a2_12_g_massa_d_bezmetal_keramiki","LUMEX AC Dentine A2 12 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_dentine_a2_12_g_massa_d_bezmetal_keramiki/","c75714ae-4cc8-4e46-b106-371c452a385a","DRAFT_REVIEW"
"amdgroup","lumex_ac_dentine_a3_5_12_g_massa_d_bezmetal_keramiki","LUMEX AC Dentine A3,5, 12 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_dentine_a3_5_12_g_massa_d_bezmetal_keramiki/","80ba1a7a-cffa-48dc-b867-7e64e9be112a","DRAFT_REVIEW"
"amdgroup","lumex_ac_dentine_a3_5_12_g_massa_d_bezmetal_keramiki","LUMEX AC Dentine A3,5, 12 g масса д/безметал.керамики","https://amdgroup.kz/catalog/lumex/lumex_ac_dentine_a3_5_12_g_massa_d_bezmetal_keramiki/","a23b12a1-1e4b-4853-9aa9-e9cfba4b064a","DRAFT_REVIEW"
